depth_bin,depth_mean,damage_ratio_mean,damage_ratio_median,damage_ratio_std,count
"(0.00533, 1.029]",0.16649678110588342,0.25648807247720823,0.1848432144687522,0.24376933040745932,85868
"(1.029, 2.032]",1.384805957602339,0.32371868943463616,0.25991975877614254,0.25719819853193754,5472
"(2.032, 3.035]",2.324611838790932,0.3182234876002595,0.21210457628384688,0.2833159309798183,794
"(3.035, 4.039]",3.3191115789473686,0.3708626711337441,0.23046946220383605,0.3226036715466823,95
"(4.039, 5.042]",4.514144444444444,0.4741572923727492,0.43548760350230414,0.3550745395397679,18
"(5.042, 6.045]",5.388428571428571,0.43227081105640525,0.29945408,0.40859246910643215,7
"(6.045, 7.048]",6.35,0.3109560429237044,0.23706619726468098,0.31260122605307183,8
"(7.048, 8.052]",7.587342857142857,0.6002178089807747,0.6134916517055655,0.32644294937506835,7
"(8.052, 9.055]",8.6868,0.33746154285714286,0.33746154285714286,,1
"(9.055, 10.058]",9.51484,0.189666352396548,0.24530068,0.14544116045771588,5
"(10.058, 11.062]",10.769599999999999,0.29430244,0.29430244,,1
"(11.062, 12.065]",11.438466666666665,0.29145647623710985,0.24700945205479455,0.2109082108544021,3
"(13.068, 14.072]",13.462,0.6593206086942756,0.6593206086942756,0.43880820094376993,2
"(16.078, 17.082]",16.764,0.14510616,0.14510616,,1
"(19.088, 20.091]",20.0914,0.01066824480369515,0.01066824480369515,,1
