storeys,coverage,kappa_claims,kappa_std,n_claims
1-story,<50K,1.4627656063196113,0.3331795589979435,23225
1-story,50-200K,0.9439980464736168,0.24095294247711352,17240
1-story,200-500K,0.773855219276899,0.23151125485144897,8686
1-story,>500K,0.7653418225555249,0.3407297180771883,3322
2-story,<50K,1.41840525412722,0.17099918588498067,5179
2-story,50-200K,0.8368685975548468,0.14949811143579475,5607
2-story,200-500K,0.6265550105348386,0.08393190444195855,4263
2-story,>500K,0.5792535663754969,0.13270895215561132,2181
3+,<50K,1.2173656249761005,0.27833443231919563,4632
3+,50-200K,0.5512983897123482,0.16836724864645908,4000
3+,200-500K,0.486415048614045,0.058655945895517425,2758
3+,>500K,0.4878873081028208,0.11688351748395846,1557
